gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
2956837423,Alcyoniidae,Alcyonium digitatum,-6.242405,49.95239,2016,United Kingdom,Seasearch,Accepted - considered correct
2956845256,Alcyoniidae,Alcyonium digitatum,-6.346141,49.8805,2016,United Kingdom,Seasearch,Accepted - considered correct
2956892272,Alcyoniidae,Alcyonium digitatum,-5.566172,57.35528,2016,United Kingdom,Seasearch,Accepted - considered correct
2956929212,Alcyoniidae,Alcyonium digitatum,-4.064823,50.2919,2016,United Kingdom,Seasearch,Accepted - considered correct
2956960725,Alcyoniidae,Alcyonium digitatum,-3.639169,50.25005,2016,United Kingdom,Seasearch,Accepted - considered correct
2956972276,Alcyoniidae,Alcyonium digitatum,-2.849534,50.65836,2016,United Kingdom,Seasearch,Accepted - considered correct
2957032878,Alcyoniidae,Alcyonium digitatum,-5.571875,56.11277,2016,United Kingdom,Seasearch,Accepted - considered correct
2957045432,Alcyoniidae,Alcyonium digitatum,-1.688941,50.67039,2016,United Kingdom,Seasearch,Accepted - considered correct
2957089549,Alcyoniidae,Alcyonium digitatum,-4.065967,50.29248,2016,United Kingdom,Seasearch,Accepted - considered correct
2957139525,Alcyoniidae,Alcyonium digitatum,-3.516848,50.33507,2016,United Kingdom,Seasearch,Accepted - considered correct
2957142496,Alcyoniidae,Alcyonium digitatum,-2.828373,50.7005,2016,United Kingdom,Seasearch,Accepted - considered correct
2957146024,Alcyoniidae,Alcyonium digitatum,-2.838167,50.70255,2016,United Kingdom,Seasearch,Accepted - considered correct
2957276625,Alcyoniidae,Alcyonium digitatum,-5.644015,56.03974,2016,United Kingdom,Seasearch,Accepted - considered correct
2957297527,Alcyoniidae,Alcyonium digitatum,-6.335413,49.87472,2016,United Kingdom,Seasearch,Accepted - considered correct
2957323637,Alcyoniidae,Alcyonium digitatum,-4.262872,50.17974,2016,United Kingdom,Seasearch,Accepted - considered correct
2957364342,Alcyoniidae,Alcyonium digitatum,-4.244032,50.32609,2016,United Kingdom,Seasearch,Accepted - considered correct
2957364935,Alcyoniidae,Alcyonium digitatum,-6.336253,49.88144,2016,United Kingdom,Seasearch,Accepted - considered correct
2957479241,Alcyoniidae,Alcyonium digitatum,-4.060391,50.29172,2016,United Kingdom,Seasearch,Accepted - considered correct
2957511868,Alcyoniidae,Alcyonium digitatum,-4.166636,51.20249,2016,United Kingdom,Seasearch,Accepted - considered correct
2957513500,Alcyoniidae,Alcyonium digitatum,-6.276843,49.91105,2016,United Kingdom,Seasearch,Accepted - considered correct
2957519546,Alcyoniidae,Alcyonium digitatum,-4.116229,50.30233,2016,United Kingdom,Seasearch,Accepted - considered correct
2957557994,Alcyoniidae,Alcyonium digitatum,-4.11623,50.30267,2016,United Kingdom,Seasearch,Accepted - considered correct
2957597241,Alcyoniidae,Alcyonium digitatum,-3.516064,50.34268,2016,United Kingdom,Seasearch,Accepted - considered correct
2957598723,Alcyoniidae,Alcyonium digitatum,-6.387133,49.86505,2016,United Kingdom,Seasearch,Accepted - considered correct
2957721004,Alcyoniidae,Alcyonium digitatum,-3.632744,50.22541,2016,United Kingdom,Seasearch,Accepted - considered correct
2957763572,Alcyoniidae,Alcyonium digitatum,-5.454387,57.23936,2016,United Kingdom,Seasearch,Accepted - considered correct
