species,lon,lat
Eunicella verrucosa,-2.329999999999995,50.59999999704931
Eunicella verrucosa,-4.949999999999993,50.59999999704931
Eunicella verrucosa,-5.059999999999999,50.49999999702501
Eunicella verrucosa,-4.83,50.79999999709735
Eunicella verrucosa,-4.6700000000000035,51.199999997190595
Eunicella verrucosa,-3.530000000000008,50.299999996975664
Eunicella verrucosa,-2.1899999999999973,50.59999999704931
Eunicella verrucosa,-4.919999999999995,50.59999999704931
Eunicella verrucosa,-2.450000000000002,50.499999997025014
Eunicella verrucosa,-6.349999999999994,49.899999996874165
Eunicella verrucosa,-4.250000000000001,50.299999996975664
Eunicella verrucosa,-5.4599999999999955,50.39999999700045
Eunicella verrucosa,-4.769999999999994,50.699999997073405
Eunicella verrucosa,-4.970000000000001,50.59999999704931
Eunicella verrucosa,-2.420000000000002,50.5999999970493
Eunicella verrucosa,-4.959999999999992,50.6999999970734
Eunicella verrucosa,-3.0299999999999994,50.699999997073405
Eunicella verrucosa,-3.799999999999999,50.199999996950666
Eunicella verrucosa,-5.0999999999999925,50.49999999702501
Eunicella verrucosa,-5.1099999999999985,50.49999999702501
Eunicella verrucosa,-5.059999999999989,50.099999996925376
Eunicella verrucosa,-4.310000000000004,50.299999996975664
Eunicella verrucosa,-2.979999999999999,50.6999999970734
Eunicella verrucosa,-4.900000000000012,50.199999996950666
Eunicella verrucosa,-5.03,50.6999999970734
Eunicella verrucosa,-5.243604000000005,51.736069997310054
Eunicella verrucosa,-8.45692799999999,54.567229997842276
Eunicella verrucosa,-8.459000000000003,54.5665099978422
Eunicella verrucosa,-2.171509,49.714509996825804
Eunicella verrucosa,-2.2425720000000022,49.17605999668099
Eunicella verrucosa,-2.2435599999999982,49.176119996680995
Eunicella verrucosa,-2.231950999999998,49.17308999668016
Eunicella verrucosa,-1.8037199999999998,48.88802999660066
Eunicella verrucosa,-2.6922260000000007,48.655303996534236
Eunicella verrucosa,-3.1990899999999987,47.674449996240185
Eunicella verrucosa,-2.7139099999999994,48.664789996537
Eunicella verrucosa,-4.5936900000000005,48.08560999636636
Eunicella verrucosa,-2.906189999999997,47.56903999620721
Eunicella verrucosa,-1.804499999999997,48.86982999659548
Eunicella verrucosa,-2.142219999999995,46.53860999587028
Eunicella verrucosa,-3.210949999999999,47.66121999623606
Eunicella verrucosa,-2.91088,47.56799999620685
Eunicella verrucosa,-3.4810800000000004,48.83652999658608
Eunicella verrucosa,-2.2472499999999993,48.707929996549396
Eunicella verrucosa,-3.646619999999999,48.871379996595955
Eunicella verrucosa,-3.2087899999999903,47.66270999623654
Eunicella verrucosa,-2.916669999999997,47.566009996206226
Eunicella verrucosa,-4.5031999999999925,48.36436999644951
Eunicella verrucosa,-5.131219999999993,48.44687999647376
Eunicella verrucosa,-4.449459999999994,48.210259996403764
Eunicella verrucosa,-3.888040000000004,48.67396999653967
Eunicella verrucosa,-3.477900000000001,47.65075999623277
Eunicella verrucosa,-3.466670000000003,47.64999999623257
Eunicella verrucosa,-3.6235600000000012,48.79473999657417
Eunicella verrucosa,-2.73677,48.65799999653503
Eunicella verrucosa,-3.6085800000000003,48.776679996569044
Eunicella verrucosa,-4.53667,48.15332999638669
Eunicella verrucosa,-3.2082999999999964,47.67139999623926
Eunicella verrucosa,-3.0838399999999973,47.46946999617576
Eunicella verrucosa,-5.141709999999996,48.446609996473654
Eunicella verrucosa,-3.6279100000000026,48.752549996562195
Eunicella verrucosa,-3.4433600000000024,47.650819996232826
Eunicella verrucosa,-4.643439999999995,48.30465999643184
Eunicella verrucosa,-3.9474999999999962,47.73696999625962
Eunicella verrucosa,-3.0453200000000025,47.45777999617205
Eunicella verrucosa,-5.127910000000003,48.43841999647124
Eunicella verrucosa,-2.7594999999999996,48.65627999653454
Eunicella verrucosa,-5.13722,48.4463899964736
Eunicella verrucosa,-3.596909999999994,48.76525999656579
Eunicella verrucosa,-4.841810000000003,48.28558999642619
Eunicella verrucosa,-4.607089999999999,48.242449996413356
Eunicella verrucosa,-1.7726599999999977,48.869199996595306
Eunicella verrucosa,-1.6206999999999954,46.28287999578267
Eunicella verrucosa,-2.6339699999999935,47.3927699961514
Eunicella verrucosa,-3.6180299999999974,48.77782999656935
Eunicella verrucosa,-2.763889999999998,48.655559996534336
Eunicella verrucosa,-4.510359999999993,48.35595999644704
Eunicella verrucosa,-4.410749999999999,48.15427999638698
